,code,name,industry,market_cap,roe,growth,turnover,ret_past,ret_future,roe_mean,roe_std,growth_mean,growth_std,turnover_mean,turnover_std,ret_past_mean,ret_past_std
48,000069.SZ,华侨城A,房地产,65222447249.25,19.0496,21.214,25.7572,3.2468,-10.4568,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
71,000402.SZ,金融街,房地产,24598893134.61,10.6264,-1.5892,12.8822,-4.0793,-10.9356,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
96,000506.SZ,中润资源,房地产,3270142518.72,4.0922,106.2797,129.7765,-2.4931,-0.8523,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
101,000514.SZ,渝开发,房地产,4514174662.75,0.8399,-55.8323,101.8515,8.2996,-7.4766,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
103,000517.SZ,荣安地产,房地产,10315908851.4,13.5715,1.2194,28.5924,1.5674,-5.8642,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
111,000526.SZ,紫光学大,房地产,2152846494.66,16.7611,-54.5462,33.0043,-17.8112,-2.681,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
118,000534.SZ,万泽股份,房地产,5434225310.8,4.0015,-44.8488,19.6052,6.8665,-16.8326,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
120,000537.SZ,广宇发展,房地产,15309920318.4,24.6021,12.833,75.9912,-10.7492,-14.3552,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
123,000540.SZ,中天金融,房地产,31873908789.45,8.8624,-32.4307,35.7213,-1.5152,-14.0659,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
130,000548.SZ,湖南投资,房地产,2411212367.13,2.433,-74.7473,41.189,-8.1749,-6.4263,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
146,000567.SZ,海德股份,房地产,5955959546.19,5.4387,64.6385,139.8175,1.1261,-14.3281,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
149,000573.SZ,粤宏远A,房地产,2388156622.72,3.0873,25.6059,43.4168,1.0989,-8.6957,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
172,000608.SZ,阳光股份,房地产,4686958181.25,0.3847,-55.4483,15.2718,-10.0719,-12.48,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
177,000615.SZ,京汉股份,房地产,4700098842.0,8.1075,-69.3675,91.0193,-22.2798,-7.0,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
178,000616.SZ,海航投资,房地产,4576750160.0,8.3836,4265.6001,49.3555,-8.5714,-4.0625,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
181,000620.SZ,新华联,房地产,8193702614.4,16.698,46.4717,12.4619,-8.0851,-5.5556,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
