000407.SZ,胜利股份,电力及公用事业,3810766560.4800 ,4.6121 ,48.2359 ,67.3340 ,-8.2627 ,-8.0831 
000408.SZ,藏格控股,基础化工,20177048762.6400 ,12.1713 ,-30.1391 ,46.0145 ,-15.8770 ,-26.9763 
000411.SZ,英特集团,医药,2852436757.5000 ,10.5826 ,16.9305 ,38.8318 ,1.7765 ,-5.3507 
000413.SZ,东旭光电,电子,34670983225.3214 ,6.8205 ,18.1128 ,84.8595 ,2.1523 ,-18.9627 
000415.SZ,渤海租赁,非银行金融,27150048427.9800 ,6.7661 ,-15.5840 ,31.7714 ,-5.5914 ,-12.0729 
000416.SZ,民生控股,非银行金融,3068898520.3800 ,2.2868 ,-23.8327 ,163.4070 ,10.1145 ,-9.1854 
000417.SZ,合肥百货,商贸零售,4265966574.0000 ,6.0410 ,6.0363 ,28.5869 ,3.0132 ,-3.6563 
000419.SZ,通程控股,商贸零售,2707041621.9000 ,5.9256 ,14.1054 ,22.3777 ,-4.0462 ,-7.4297 
000420.SZ,吉林化纤,基础化工,4887352506.8800 ,4.6411 ,64.8069 ,27.6360 ,-16.2162 ,16.1290 
000421.SZ,南京公用,电力及公用事业,2931952302.0800 ,5.6942 ,-3.3112 ,25.8784 ,-4.6555 ,-7.8125 
000423.SZ,东阿阿胶,医药,28639603105.2300 ,19.7184 ,2.0847 ,25.1670 ,-7.7134 ,-6.7595 
000425.SZ,徐工机械,机械,35878201409.4000 ,7.5556 ,99.8179 ,45.0478 ,4.0909 ,-6.5502 
000426.SZ,兴业矿业,有色金属,10407548102.4900 ,-3.2485 ,-130.8261 ,67.3610 ,-11.0224 ,-9.6948 
000428.SZ,华天酒店,消费者服务,3066967260.0000 ,-17.2336 ,-887.7435 ,11.2683 ,-8.5106 ,-3.9867 
000429.SZ,粤高速A,交通运输,17438763540.5200 ,18.0231 ,11.2919 ,33.8011 ,-3.4141 ,1.5964 
000430.SZ,张家界,消费者服务,2509869653.2000 ,1.6858 ,-62.1565 ,27.5673 ,-8.2840 ,-11.2903 
000488.SZ,晨鸣纸业,轻工制造,14198754644.7121 ,9.5020 ,-31.7700 ,78.2019 ,-11.9822 ,-9.2437 
000498.SZ,山东路桥,建筑,6743237159.2600 ,14.7224 ,17.1719 ,71.8867 ,-0.9868 ,-13.7874 
000501.SZ,鄂武商A,商贸零售,8989525025.3900 ,13.6118 ,-15.4183 ,22.6833 ,-2.6644 ,-8.9641 
000502.SZ,绿景控股,房地产,1556181090.9400 ,46.1647 ,190.0180 ,34.3609 ,-9.4624 ,-5.4632 
000503.SZ,国新健康,医药,19962841150.8400 ,-14.3424 ,-62862.5309 ,51.3667 ,-20.5367 ,-17.9199 
000505.SZ,京粮控股,食品饮料,3840461445.4600 ,7.6801 ,1.1643 ,71.2753 ,-7.6923 ,10.0340 
000506.SZ,中润资源,房地产,3270142518.7200 ,4.0922 ,106.2797 ,129.7765 ,-2.4931 ,-0.8523 
000507.SZ,珠海港,交通运输,5566263478.9500 ,6.0106 ,15.9272 ,72.4724 ,-10.8723 ,-9.5035 
000509.SZ,华塑控股,综合,2847916753.6500 ,-184.1393 ,-511.3316 ,157.5208 ,13.8614 ,-22.3188 
000510.SZ,新金路,基础化工,3125104963.0200 ,11.2187 ,143.2507 ,87.9673 ,-3.0246 ,-10.9162 
