,code,name,industry,market_cap,roe,growth,turnover,ret_past,ret_future,roe_mean,roe_std,growth_mean,growth_std,turnover_mean,turnover_std,ret_past_mean,ret_past_std,roe_score,growth_score,turnover_score,ret_past_score
3010,601788.SH,光大证券,非银行金融,53141379989.3238,0.2158,-92.2019,28.3004,-5.4711,-10.3698,5.3645049999999985,4.127310565268619,-24.924880000000005,46.80627701352002,70.45081166666665,71.61440884601436,-5.729160000000001,7.779895305386806,-1.2474721537376976,-1.4373503788939888,0.5885744551393096,-0.03317011217635799
3029,601878.SH,浙商证券,非银行金融,33400000668.0,5.4232,-30.705,97.2553,-13.6951,-11.7764,5.3645049999999985,4.127310565268619,-24.924880000000005,46.80627701352002,70.45081166666665,71.61440884601436,-5.729160000000001,7.779895305386806,0.014221125130228959,-0.12349027457001979,-0.37428903994681423,1.0239135216234048
3031,601881.SH,中国银河,非银行金融,90697453073.5481,4.4249,-27.0526,175.5993,-2.3669,-12.2944,5.3645049999999985,4.127310565268619,-24.924880000000005,46.80627701352002,70.45081166666665,71.61440884601436,-5.729160000000001,7.779895305386806,-0.2276555120195676,-0.04545800554454275,-1.4682588326522967,-0.4321729108195029
3039,601901.SH,方正证券,非银行金融,57460067737.1,1.7594,-53.1643,16.2464,-9.1146,2.7221,5.3645049999999985,4.127310565268619,-24.924880000000005,46.80627701352002,70.45081166666665,71.61440884601436,-5.729160000000001,7.779895305386806,-0.8734755824621029,-0.6033254896953889,0.7568925379697993,0.4351523853612679
3059,601990.SH,南京证券,非银行金融,33510547741.57,2.3224,-42.8248,262.211,-17.2999,-4.5939,5.3645049999999985,4.127310565268619,-24.924880000000005,46.80627701352002,70.45081166666665,71.61440884601436,-5.729160000000001,7.779895305386806,-0.7370671413969567,-0.382425630537323,-2.677676063006497,1.4872616591624839
69,000400.SZ,许继电气,电力设备及新能源,9871524355.11,2.6047,-59.8542,36.1642,-7.6415,-7.9673,7.180690697674418,5.624048833670147,29.308810852713187,165.48332648151978,77.82326201550393,78.80705766152289,-5.260327131782949,12.429837989709682,-0.8136470420169191,-0.538803592775677,0.5286209541590807,0.1915690993067132
132,000551.SZ,创元科技,电力设备及新能源,2976598213.2,5.3215,15.5757,66.1038,0.1346,-9.543,7.180690697674418,5.624048833670147,29.308810852713187,165.48332648151978,77.82326201550393,78.80705766152289,-5.260327131782949,12.429837989709682,-0.3305786903100458,-0.08298788249368931,0.14871081808229827,-0.4340303659829886
222,000682.SZ,东方电子,电力设备及新能源,7347183998.36,7.1814,19.8613,80.1568,-10.4575,-8.7591,7.180690697674418,5.624048833670147,29.308810852713187,165.48332648151978,77.82326201550393,78.80705766152289,-5.260327131782949,12.429837989709682,0.00012611951755032964,-0.05709040936984204,-0.02961077413292912,0.41812072470450906
335,000862.SZ,银星能源,电力设备及新能源,3954266383.2,2.0506,127.8229,327.6064,-13.9785,6.0714,7.180690697674418,5.624048833670147,29.308810852713187,165.48332648151978,77.82326201550393,78.80705766152289,-5.260327131782949,12.429837989709682,-0.9121703686073114,0.595311269370019,-3.169552897880253,0.7013907080232731
374,000922.SZ,佳电股份,电力设备及新能源,5917912006.24,16.4571,131.2731,86.2971,35.7303,-18.0464,7.180690697674418,5.624048833670147,29.308810852713187,165.48332648151978,77.82326201550393,78.80705766152289,-5.260327131782949,12.429837989709682,1.6494183419584525,0.616160499762939,-0.10752638451357101,-3.2977603703055465
455,002028.SZ,思源电气,电力设备及新能源,9137715569.64,6.5954,6.0165,59.6336,-3.2985,-14.5591,7.180690697674418,5.624048833670147,29.308810852713187,165.48332648151978,77.82326201550393,78.80705766152289,-5.260327131782949,12.429837989709682,-0.10406927730968309,-0.14075321875593513,0.23081260175489243,-0.1578320758007539
499,002074.SZ,国轩高科,电力设备及新能源,16731500055.68,6.9268,-30.766,50.3695,-16.3161,-13.3832,7.180690697674418,5.624048833670147,29.308810852713187,165.48332648151978,77.82326201550393,78.80705766152289,-5.260327131782949,12.429837989709682,-0.0451437576705275,-0.36302636724807436,0.3483667939160743,0.8894543016063297
