300072.SZ,0.123,0.0896,0.1009,0.1025,0.093,0.08,0.0758,0.0714,0.06
300122.SZ,0.198,0.1741,0.1887,0.1998,0.169,0.171,0.1673,0.1771,0.186
300124.SZ,0.214,0.2197,0.2263,0.2112,0.206,0.2,0.1872,0.1995,0.186
300136.SZ,0.18,0.1779,0.2016,0.1894,0.171,0.153,0.1598,0.1841,0.201
300142.SZ,0.25,0.2292,0.2238,0.2519,0.274,0.262,0.295,0.2712,0.271
300144.SZ,0.165,0.1429,0.1349,0.1383,0.134,0.137,0.1332,0.1507,0.156
300251.SZ,0.071,0.0751,0.067,0.0628,0.056,0.054,0.0482,0.0626,0.061
300296.SZ,0.125,0.0944,0.1133,0.1169,0.112,0.105,0.1146,0.0997,0.095
300408.SZ,0.188,0.1798,0.1778,0.1852,0.169,0.174,0.1614,0.1766,0.167
300433.SZ,0.055,0.0473,0.0588,0.0571,0.054,0.048,0.0456,0.0499,0.055
600000.SH,1.225,1.2481,1.2069,1.0831,1.15,1.153,1.0783,1.1087,1.074
600004.SH,0.111,0.1185,0.1164,0.1252,0.129,0.143,0.1516,0.1492,0.157
600009.SH,0.521,0.4712,0.4903,0.4794,0.557,0.588,0.6537,0.6405,0.657
600010.SH,0.287,0.27,0.2807,0.2779,0.254,0.283,0.2446,0.2306,0.222
600011.SH,0.346,0.2801,0.2543,0.2366,0.243,0.252,0.216,0.2414,0.225
600015.SH,0.504,0.4605,0.4516,0.4194,0.404,0.407,0.3751,0.3757,0.361
600016.SH,1.514,1.4554,1.4202,1.2931,1.3,1.339,1.2499,1.2113,1.17
600018.SH,0.179,0.1736,0.1676,0.1931,0.214,0.217,0.1791,0.1896,0.151
600019.SH,0.616,0.6216,0.5797,0.5416,0.523,0.495,0.4613,0.4521,0.42
600023.SH,0.205,0.1812,0.1678,0.1635,0.158,0.168,0.1434,0.1425,0.132
600025.SH,0.06,0.0586,0.055,0.0617,0.06,0.064,0.058,0.069,0.067
600027.SH,0.165,0.1335,0.1232,0.1174,0.111,0.113,0.0974,0.107,0.099
600028.SH,0.668,0.7038,0.6459,0.585,0.578,0.595,0.575,0.5671,0.54
600029.SH,0.243,0.2411,0.2468,0.2414,0.239,0.218,0.2118,0.1991,0.183
600030.SH,1.341,1.4434,1.6464,1.6045,1.484,1.398,1.505,1.4622,1.425
600031.SH,0.485,0.5108,0.5005,0.6122,0.588,0.625,0.6162,0.6743,0.641
600036.SH,2.767,2.9829,2.9021,2.8345,2.908,3.114,2.9852,3.0265,2.868
600038.SH,0.117,0.1205,0.1183,0.1139,0.103,0.108,0.0967,0.1032,0.115
600048.SH,0.895,0.9064,0.8146,0.8441,0.788,0.766,0.7288,0.8001,0.779
600050.SH,0.512,0.4924,0.5214,0.5239,0.508,0.487,0.4623,0.4431,0.442
600061.SH,0.081,0.0766,0.0958,0.1009,0.096,0.092,0.1895,0.1845,0.181
600066.SH,0.168,0.1531,0.1617,0.1492,0.155,0.147,0.1396,0.1359,0.157
600068.SH,0.186,0.1704,0.1687,0.1633,0.154,0.151,0.1363,0.135,0.121
600085.SH,0.161,0.1459,0.1376,0.1362,0.14,0.141,0.1276,0.1247,0.124
600089.SH,0.268,0.2647,0.2522,0.2546,0.235,0.235,0.2147,0.212,0.198
600100.SH,0.215,0.1788,0.1817,0.212,0.177,0.182,0.1743,0.1695,0.17
600104.SH,0.995,0.922,0.8597,0.7515,0.785,0.741,0.7161,0.6986,0.713
600109.SH,0.184,0.1872,0.2098,0.2183,0.203,0.195,0.1881,0.1802,0.172
600111.SH,0.203,0.1872,0.201,0.2021,0.183,0.253,0.2153,0.1956,0.205
600115.SH,0.198,0.1956,0.1963,0.2294,0.22,0.207,0.1976,0.1819,0.161
600118.SH,0.109,0.106,0.1128,0.1248,0.112,0.123,0.1074,0.1094,0.112
600153.SH,0.128,0.1296,0.1247,0.1252,0.134,0.132,0.0994,0.1021,0.098
600157.SH,0.089,0.0993,0.1153,0.1137,0.105,0.1,,,
600170.SH,0.144,0.1419,0.1352,0.1389,0.139,0.147,0.133,0.1357,0.13
600176.SH,0.216,0.2103,0.2025,0.1911,0.187,0.171,0.1602,0.1509,0.139
600177.SH,0.192,0.1898,0.1833,0.189,0.196,0.21,0.1762,0.1829,0.176
600188.SH,0.083,0.0797,0.0822,0.0796,0.083,0.084,0.0764,0.0738,0.069
600196.SH,0.249,0.2388,0.2469,0.2471,0.239,0.22,0.2073,0.2116,0.225
600208.SH,0.133,0.1222,0.1361,0.1501,0.125,0.115,0.1089,0.1021,0.1
600219.SH,0.161,0.1536,0.157,0.1613,0.147,0.146,0.1299,0.1279,0.125
600221.SH,0.23,0.2124,0.2125,0.2078,0.206,0.204,0.185,0.1809,0.175
600233.SH,0.039,0.0436,0.0407,0.041,0.04,0.044,0.0369,0.038,0.033
600271.SH,0.272,0.274,0.273,0.2604,0.233,0.226,0.2082,0.2064,0.194
600276.SH,1.24,1.3262,1.3603,1.4056,1.427,1.454,1.6568,1.6745,2.01
600297.SH,0.107,0.1056,0.1044,0.1054,0.1,0.095,0.116,0.1048,0.106
600309.SH,0.489,0.5576,0.5649,0.5948,0.581,0.527,0.5405,0.5587,0.569
600332.SH,0.214,0.1881,0.181,0.1797,0.209,0.192,0.1897,0.1664,0.168
600339.SH,0.065,0.061,0.0619,0.0647,0.059,0.063,0.0571,0.0513,0.05
600340.SH,0.488,0.4959,0.4783,0.467,0.463,0.471,0.4643,0.4185,0.39
600346.SH,0.107,0.0987,0.0966,0.116,0.11,0.115,0.1024,0.105,0.117
600352.SH,0.267,0.2595,0.2453,0.3971,0.433,0.381,0.3415,0.3137,0.294
600362.SH,0.145,0.1376,0.1392,0.1393,0.13,0.136,0.1295,0.1223,0.12
600369.SH,0.105,0.1109,0.1301,0.1277,0.121,0.116,0.112,0.1112,0.104
600372.SH,0.073,0.0711,0.0747,0.0735,0.066,0.07,0.0627,0.0633,0.064
600383.SH,0.231,0.2451,0.221,0.257,0.224,0.231,0.2163,0.2183,0.206
600390.SH,0.039,0.038,0.0464,0.0471,0.045,0.043,0.0403,0.0389,0.038
600398.SH,0.162,0.158,0.1525,0.1449,0.133,0.138,0.1281,0.1308,0.123
600406.SH,0.362,0.356,0.291,0.3207,0.299,0.296,0.2736,0.2802,0.259
600415.SH,0.101,0.0986,0.1075,0.1069,0.096,0.096,0.0897,0.0869,0.084
600436.SH,0.278,0.2718,0.2769,0.2837,0.285,0.286,0.2773,0.2543,0.244
600438.SH,0.171,0.206,0.1992,0.2094,0.227,0.264,0.2224,0.2272,0.231
600482.SH,0.164,0.1518,0.1503,0.1621,0.135,0.137,0.1287,0.1381,0.14
600487.SH,0.242,0.2331,0.2484,0.2352,0.219,0.186,0.1802,0.172,0.155
600489.SH,0.158,0.1373,0.1278,0.1212,0.112,0.123,0.1378,0.1235,0.137
600498.SH,0.213,0.1963,0.1956,0.1835,0.168,0.164,0.1575,0.158,0.153
600516.SH,0.191,0.198,0.2061,0.2022,0.184,0.169,0.1584,0.1532,0.134
600518.SH,0.293,0.1891,0.2833,0.2628,0.233,0.11,,,
600519.SH,3.156,3.4353,3.3918,3.4805,4.006,3.947,4.0666,3.9071,4.654
600522.SH,0.213,0.1944,0.2091,0.2027,0.204,0.192,0.1824,0.1754,0.166
600535.SH,0.185,0.1667,0.1607,0.1745,0.163,0.147,0.1236,0.1188,0.125
